title,year,genre,country,director,avg_vote,metascore,reviews_from_users,reviews_from_critics
Fiddler on the Roof,1971,"Drama, Family, Musical",USA,Norman Jewison,8.0,67.0,162.0,71.0
Willy Wonka & the Chocolate Factory,1971,"Family, Fantasy, Musical","USA, East Germany, West Germany",Mel Stuart,7.8,67.0,391.0,87.0
Rupan sansei: Kariosutoro no shiro,1979,"Animation, Adventure, Family",Japan,Hayao Miyazaki,7.7,71.0,89.0,88.0
The Muppet Movie,1979,"Adventure, Comedy, Family","UK, USA",James Frawley,7.6,74.0,104.0,76.0
