title,year,genre,country,director,avg_vote,metascore,reviews_from_users,reviews_from_critics
Star Wars,1977,"Action, Adventure, Fantasy",USA,George Lucas,8.6,90.0,1688.0,172.0
Dirty Harry,1971,"Action, Crime, Thriller",USA,Don Siegel,7.7,90.0,338.0,136.0
The French Connection,1971,"Action, Crime, Drama",USA,William Friedkin,7.7,94.0,311.0,159.0
Enter the Dragon,1973,"Action, Crime, Drama","Hong Kong, USA",Robert Clouse,7.7,83.0,286.0,159.0
The Taking of Pelham One Two Three,1974,"Action, Crime, Thriller",USA,Joseph Sargent,7.7,68.0,201.0,104.0
The Warriors,1979,"Action, Crime, Thriller",USA,Walter Hill,7.6,65.0,443.0,136.0
