title,year,genre,country,director,avg_vote,metascore,reviews_from_users,reviews_from_critics
The Lion King,1994,"Animation, Adventure, Drama",USA,"Roger Allers, Rob Minkoff",8.5,88.0,906.0,225.0
Mononoke-hime,1997,"Animation, Adventure, Fantasy",Japan,Hayao Miyazaki,8.4,76.0,644.0,195.0
Toy Story,1995,"Animation, Adventure, Comedy",USA,John Lasseter,8.3,95.0,538.0,193.0
Beauty and the Beast,1991,"Animation, Family, Fantasy",USA,"Gary Trousdale, Kirk Wise",8.0,95.0,415.0,209.0
Aladdin,1992,"Animation, Adventure, Comedy",USA,"Ron Clements, John Musker",8.0,86.0,294.0,154.0
The Nightmare Before Christmas,1993,"Animation, Family, Fantasy",USA,Henry Selick,8.0,82.0,496.0,232.0
Kôkaku Kidôtai,1995,"Animation, Action, Crime","Japan, UK",Mamoru Oshii,8.0,76.0,299.0,170.0
The Iron Giant,1999,"Animation, Action, Adventure",USA,Brad Bird,8.0,85.0,567.0,190.0
Toy Story 2,1999,"Animation, Adventure, Comedy",USA,"John Lasseter, Ash Brannon",7.9,88.0,568.0,210.0
Kurenai no buta,1992,"Animation, Adventure, Comedy",Japan,Hayao Miyazaki,7.8,83.0,112.0,89.0
Omohide poro poro,1991,"Animation, Drama, Romance",Japan,Isao Takahata,7.7,90.0,81.0,68.0
"South Park: Bigger, Longer & Uncut",1999,"Animation, Comedy, Fantasy",USA,Trey Parker,7.7,73.0,948.0,163.0
Mulan,1998,"Animation, Adventure, Family",USA,"Tony Bancroft, Barry Cook",7.6,71.0,261.0,133.0
