title,year,genre,country,director,avg_vote,metascore,reviews_from_users,reviews_from_critics
Forrest Gump,1994,"Drama, Romance",USA,Robert Zemeckis,8.8,82.0,2050.0,163.0
Good Will Hunting,1997,"Drama, Romance",USA,Gus Van Sant,8.3,70.0,807.0,180.0
Before Sunrise,1995,"Drama, Romance","USA, Austria, Switzerland",Richard Linklater,8.1,77.0,447.0,148.0
"Crna macka, beli macor",1998,"Comedy, Crime, Romance","Federal Republic of Yugoslavia, France, Germany, Austria, Greece",Emir Kusturica,8.1,73.0,102.0,71.0
Trois couleurs: Rouge,1994,"Drama, Mystery, Romance","Switzerland, France, Poland",Krzysztof Kieslowski,8.1,100.0,156.0,104.0
Groundhog Day,1993,"Comedy, Fantasy, Romance",USA,Harold Ramis,8.0,72.0,722.0,181.0
Edward Scissorhands,1990,"Drama, Fantasy, Romance",USA,Tim Burton,7.9,74.0,633.0,98.0
The Remains of the Day,1993,"Drama, Romance","USA, UK",James Ivory,7.8,84.0,189.0,66.0
A Bronx Tale,1993,"Crime, Drama, Romance",USA,Robert De Niro,7.8,80.0,211.0,55.0
Chun gwong cha sit,1997,"Drama, Romance","Hong Kong, Japan, South Korea",Kar-Wai Wong,7.8,69.0,81.0,44.0
Titanic,1997,"Drama, Romance",USA,James Cameron,7.8,75.0,2721.0,324.0
Wo de fu qin mu qin,1999,"Drama, History, Romance",China,Yimou Zhang,7.8,71.0,143.0,79.0
Trois couleurs: Blanc,1994,"Comedy, Drama, Romance","Switzerland, France, Poland",Krzysztof Kieslowski,7.7,88.0,98.0,91.0
Omohide poro poro,1991,"Animation, Drama, Romance",Japan,Isao Takahata,7.7,90.0,81.0,68.0
As Good as It Gets,1997,"Comedy, Drama, Romance",USA,James L. Brooks,7.7,67.0,515.0,140.0
The Piano,1993,"Drama, Music, Romance","New Zealand, Australia, France",Jane Campion,7.6,89.0,265.0,86.0
Ah fei zing zyun,1990,"Crime, Drama, Romance",Hong Kong,Kar-Wai Wong,7.6,96.0,43.0,63.0
The Bridges of Madison County,1995,"Drama, Romance",USA,Clint Eastwood,7.6,66.0,230.0,82.0
Sense and Sensibility,1995,"Drama, Romance","USA, UK",Ang Lee,7.6,84.0,217.0,51.0
La fille sur le pont,1999,"Comedy, Drama, Romance",France,Patrice Leconte,7.6,75.0,66.0,73.0
