title,year,genre,country,director,avg_vote,metascore,reviews_from_users,reviews_from_critics
The Matrix,1999,"Action, Sci-Fi",USA,"Lana Wachowski, Lilly Wachowski",8.7,73.0,4069.0,337.0
Terminator 2: Judgment Day,1991,"Action, Sci-Fi",USA,James Cameron,8.5,75.0,1181.0,289.0
Jurassic Park,1993,"Action, Adventure, Sci-Fi",USA,Steven Spielberg,8.1,68.0,1053.0,352.0
The Truman Show,1998,"Comedy, Drama, Sci-Fi",USA,Peter Weir,8.1,90.0,1065.0,251.0
Twelve Monkeys,1995,"Mystery, Sci-Fi, Thriller",USA,Terry Gilliam,8.0,74.0,589.0,176.0
Gattaca,1997,"Drama, Sci-Fi, Thriller",USA,Andrew Niccol,7.8,64.0,733.0,182.0
La cité des enfants perdus,1995,"Fantasy, Sci-Fi","France, Germany, Spain, Belgium, USA","Marc Caro, Jean-Pierre Jeunet",7.6,73.0,244.0,47.0
Dark City,1998,"Mystery, Sci-Fi, Thriller","Australia, USA",Alex Proyas,7.6,66.0,665.0,239.0
