title,year,genre,country,director,avg_vote,metascore,reviews_from_users,reviews_from_critics
The Shawshank Redemption,1994,Drama,USA,Frank Darabont,9.3,80.0,7029.0,224.0
Schindler's List,1993,"Biography, Drama, History",USA,Steven Spielberg,8.9,94.0,1642.0,221.0
Pulp Fiction,1994,"Crime, Drama",USA,Quentin Tarantino,8.9,94.0,2766.0,278.0
Fight Club,1999,Drama,"USA, Germany",David Fincher,8.8,66.0,3496.0,365.0
Forrest Gump,1994,"Drama, Romance",USA,Robert Zemeckis,8.8,82.0,2050.0,163.0
Goodfellas,1990,"Biography, Crime, Drama",USA,Martin Scorsese,8.7,89.0,1158.0,229.0
Se7en,1995,"Crime, Drama, Mystery",USA,David Fincher,8.6,65.0,1294.0,258.0
The Green Mile,1999,"Crime, Drama, Fantasy",USA,Frank Darabont,8.6,61.0,1571.0,199.0
Saving Private Ryan,1998,"Drama, War",USA,Steven Spielberg,8.6,91.0,2452.0,264.0
The Silence of the Lambs,1991,"Crime, Drama, Thriller",USA,Jonathan Demme,8.6,85.0,1141.0,206.0
American History X,1998,Drama,USA,Tony Kaye,8.5,62.0,1513.0,167.0
Léon,1994,"Action, Crime, Drama",France,Luc Besson,8.5,64.0,1039.0,129.0
The Lion King,1994,"Animation, Adventure, Drama",USA,"Roger Allers, Rob Minkoff",8.5,88.0,906.0,225.0
Reservoir Dogs,1992,"Crime, Drama, Thriller",USA,Quentin Tarantino,8.3,79.0,1060.0,203.0
Braveheart,1995,"Biography, Drama, History",USA,Mel Gibson,8.3,68.0,1194.0,151.0
American Beauty,1999,Drama,USA,Sam Mendes,8.3,86.0,2812.0,194.0
Good Will Hunting,1997,"Drama, Romance",USA,Gus Van Sant,8.3,70.0,807.0,180.0
Heat,1995,"Crime, Drama, Thriller",USA,Michael Mann,8.2,76.0,1008.0,203.0
Casino,1995,"Crime, Drama","USA, France",Martin Scorsese,8.2,73.0,581.0,154.0
Rang-e khoda,1999,"Drama, Family",Iran,Majid Majidi,8.2,80.0,94.0,70.0
Unforgiven,1992,"Drama, Western",USA,Clint Eastwood,8.2,85.0,559.0,116.0
L.A. Confidential,1997,"Crime, Drama, Mystery",USA,Curtis Hanson,8.2,90.0,679.0,131.0
Chung Hing sam lam,1994,"Comedy, Crime, Drama",Hong Kong,Kar-Wai Wong,8.1,77.0,180.0,91.0
In the Name of the Father,1993,"Biography, Drama","Ireland, UK",Jim Sheridan,8.1,84.0,173.0,58.0
Fargo,1996,"Crime, Drama, Thriller","USA, UK","Joel Coen, Ethan Coen",8.1,85.0,913.0,225.0
Trois couleurs: Rouge,1994,"Drama, Mystery, Romance","Switzerland, France, Poland",Krzysztof Kieslowski,8.1,100.0,156.0,104.0
