title,year,genre,country,director,avg_vote,metascore,reviews_from_users,reviews_from_critics
It's a Wonderful Life,1946,"Drama, Family, Fantasy",USA,Frank Capra,8.6,89.0,849.0,168.0
Casablanca,1942,"Drama, Romance, War",USA,Michael Curtiz,8.5,100.0,1232.0,187.0
Citizen Kane,1941,"Drama, Mystery",USA,Orson Welles,8.3,100.0,1371.0,265.0
Double Indemnity,1944,"Crime, Drama, Film-Noir",USA,Billy Wilder,8.3,95.0,364.0,141.0
The Treasure of the Sierra Madre,1948,"Adventure, Drama, Western","USA, Mexico",John Huston,8.2,98.0,256.0,94.0
The Grapes of Wrath,1940,"Drama, History",USA,John Ford,8.0,96.0,328.0,96.0
The Best Years of Our Lives,1946,"Drama, Romance, War",USA,William Wyler,8.0,92.0,275.0,119.0
Rope,1948,"Crime, Drama, Mystery",USA,Alfred Hitchcock,8.0,73.0,371.0,113.0
La belle et la bête,1946,"Drama, Fantasy, Romance",France,"Jean Cocteau, René Clément",7.9,92.0,132.0,83.0
Notorious,1946,"Drama, Film-Noir, Romance",USA,Alfred Hitchcock,7.9,100.0,329.0,135.0
Miracle on 34th Street,1947,"Comedy, Drama, Family",USA,George Seaton,7.9,88.0,177.0,106.0
The Magnificent Ambersons,1942,"Drama, Romance",USA,"Orson Welles, Fred Fleck",7.7,93.0,124.0,86.0
Lifeboat,1944,"Drama, War",USA,Alfred Hitchcock,7.7,78.0,148.0,83.0
