title,year,genre,country,director,avg_vote,metascore,reviews_from_users,reviews_from_critics
Whiplash,2014,"Drama, Music",USA,Damien Chazelle,8.5,88.0,1077.0,569.0
Gully Boy,2019,"Drama, Music",India,Zoya Akhtar,8.2,65.0,391.0,39.0
Sing Street,2016,"Comedy, Drama, Music","Ireland, UK, USA",John Carney,8.0,79.0,177.0,319.0
La La Land,2016,"Comedy, Drama, Music","USA, Hong Kong",Damien Chazelle,8.0,93.0,1628.0,672.0
The Broken Circle Breakdown,2012,"Drama, Music, Romance","Belgium, Netherlands",Felix van Groeningen,7.8,70.0,67.0,206.0
A Star Is Born,2018,"Drama, Music, Romance",USA,Bradley Cooper,7.7,88.0,2568.0,458.0
Les Misérables,2012,"Drama, History, Musical","UK, USA",Tom Hooper,7.6,63.0,929.0,502.0
Zimna wojna,2018,"Drama, History, Music","Poland, UK, France",Pawel Pawlikowski,7.6,90.0,180.0,270.0
