title,year,genre,country,director,avg_vote,metascore,reviews_from_users,reviews_from_critics
Coco,2017,"Animation, Adventure, Family",USA,"Lee Unkrich, Adrian Molina",8.4,81.0,930.0,395.0
Ookami kodomo no Ame to Yuki,2012,"Animation, Drama, Family",Japan,Mamoru Hosoda,8.1,71.0,84.0,86.0
Wonder,2017,"Drama, Family","USA, Hong Kong",Stephen Chbosky,8.0,66.0,396.0,225.0
Paddington 2,2017,"Adventure, Comedy, Family","UK, France, USA",Paul King,7.8,88.0,215.0,413.0
Harry Potter and the Deathly Hallows: Part 1,2010,"Adventure, Family, Fantasy","UK, USA",David Yates,7.7,65.0,663.0,438.0
Omoide no Mânî,2014,"Animation, Drama, Family",Japan,"James Simone, Hiromasa Yonebayashi",7.7,72.0,74.0,167.0
The Breadwinner,2017,"Animation, Drama, Family","Ireland, Canada, Luxembourg, USA, UK, Philippines, India",Nora Twomey,7.7,78.0,72.0,108.0
Despicable Me,2010,"Animation, Comedy, Family","USA, France","Pierre Coffin, Chris Renaud",7.6,72.0,328.0,317.0
Kari-gurashi no Arietti,2010,"Animation, Adventure, Family",Japan,Hiromasa Yonebayashi,7.6,80.0,125.0,249.0
