title,year,genre,country,director,avg_vote,metascore,reviews_from_users,reviews_from_critics
Gisaengchung,2019,"Comedy, Drama, Thriller",South Korea,Bong Joon Ho,8.6,95.0,379.0,285.0
The Dark Knight Rises,2012,"Action, Thriller","UK, USA",Christopher Nolan,8.4,78.0,2878.0,837.0
Shutter Island,2010,"Mystery, Thriller",USA,Martin Scorsese,8.1,63.0,1162.0,514.0
Ah-ga-ssi,2016,"Drama, Romance, Thriller",South Korea,Chan-wook Park,8.1,84.0,172.0,330.0
Room,2015,"Drama, Thriller","Ireland, Canada, UK, USA",Lenny Abrahamson,8.1,86.0,570.0,470.0
Relatos salvajes,2014,"Comedy, Drama, Thriller","Argentina, Spain",Damián Szifron,8.1,77.0,204.0,304.0
Gone Girl,2014,"Drama, Mystery, Thriller",USA,David Fincher,8.1,79.0,1335.0,614.0
Black Swan,2010,"Drama, Thriller",USA,Darren Aronofsky,8.0,79.0,1222.0,685.0
The Imitation Game,2014,"Biography, Drama, Thriller","UK, USA",Morten Tyldum,8.0,73.0,777.0,479.0
Serbuan Maut 2: Berandal,2014,"Action, Crime, Thriller","Indonesia, USA",Gareth Evans,8.0,71.0,325.0,453.0
Nightcrawler,2014,"Crime, Drama, Thriller",USA,Dan Gilroy,7.9,76.0,708.0,548.0
Captain Phillips,2013,"Biography, Drama, Thriller",USA,Paul Greengrass,7.8,83.0,600.0,505.0
Mission: Impossible - Fallout,2018,"Action, Adventure, Thriller","USA, China, France, Norway, UK",Christopher McQuarrie,7.8,86.0,1553.0,476.0
Forushande,2016,"Drama, Thriller","Iran, France",Asghar Farhadi,7.8,85.0,92.0,307.0
Argo,2012,"Biography, Drama, Thriller","USA, UK",Ben Affleck,7.7,86.0,755.0,663.0
Gravity,2013,"Drama, Sci-Fi, Thriller","UK, USA",Alfonso Cuarón,7.7,96.0,2027.0,772.0
Get Out,2017,"Horror, Mystery, Thriller","USA, Japan",Jordan Peele,7.7,84.0,1427.0,720.0
Skyfall,2012,"Action, Adventure, Thriller","UK, USA",Sam Mendes,7.7,81.0,1549.0,726.0
L'insulte,2017,"Crime, Drama, Thriller","France, Cyprus, Belgium, Lebanon, USA",Ziad Doueiri,7.7,72.0,55.0,128.0
Searching,2018,"Drama, Mystery, Thriller","Russia, USA",Aneesh Chaganty,7.7,71.0,985.0,279.0
Serbuan Maut,2011,"Action, Thriller","Indonesia, France, USA",Gareth Evans,7.6,73.0,382.0,502.0
Lo imposible,2012,"Drama, History, Thriller","Spain, USA",J.A. Bayona,7.6,73.0,399.0,381.0
Bridge of Spies,2015,"Drama, History, Thriller","Germany, India, USA",Steven Spielberg,7.6,81.0,444.0,498.0
La piel que habito,2011,"Drama, Horror, Thriller","Spain, USA",Pedro Almodóvar,7.6,70.0,176.0,421.0
Hotel Mumbai,2018,"Drama, History, Thriller","Australia, USA, UK, India, Singapore",Anthony Maras,7.6,62.0,325.0,150.0
John Wick: Chapter 3 - Parabellum,2019,"Action, Crime, Thriller",USA,Chad Stahelski,7.6,73.0,1920.0,346.0
