title,year,genre,country,director,avg_vote,metascore,reviews_from_users,reviews_from_critics
Incendies,2010,"Drama, Mystery, War","Canada, France",Denis Villeneuve,8.3,80.0,215.0,238.0
Shutter Island,2010,"Mystery, Thriller",USA,Martin Scorsese,8.1,63.0,1162.0,514.0
Prisoners,2013,"Crime, Drama, Mystery",USA,Denis Villeneuve,8.1,74.0,801.0,488.0
Gone Girl,2014,"Drama, Mystery, Thriller",USA,David Fincher,8.1,79.0,1335.0,614.0
Blade Runner 2049,2017,"Action, Drama, Mystery","USA, UK, Hungary, Canada, Spain",Denis Villeneuve,8.0,81.0,2165.0,628.0
Arrival,2016,"Drama, Mystery, Sci-Fi","USA, Canada, India",Denis Villeneuve,7.9,81.0,1734.0,708.0
The Girl with the Dragon Tattoo,2011,"Crime, Drama, Mystery","USA, Sweden, Norway",David Fincher,7.8,71.0,690.0,531.0
Le passé,2013,"Drama, Mystery","France, Italy, Belgium, Iran",Asghar Farhadi,7.8,85.0,89.0,317.0
The Hateful Eight,2015,"Crime, Drama, Mystery",USA,Quentin Tarantino,7.8,68.0,1340.0,680.0
Ex Machina,2014,"Drama, Mystery, Sci-Fi",UK,Alex Garland,7.7,78.0,814.0,510.0
Get Out,2017,"Horror, Mystery, Thriller","USA, Japan",Jordan Peele,7.7,84.0,1427.0,720.0
Wind River,2017,"Crime, Drama, Mystery","UK, Canada, USA",Taylor Sheridan,7.7,73.0,569.0,363.0
Searching,2018,"Drama, Mystery, Thriller","Russia, USA",Aneesh Chaganty,7.7,71.0,985.0,279.0
Teströl és lélekröl,2017,"Drama, Fantasy, Mystery",Hungary,Ildikó Enyedi,7.6,77.0,52.0,171.0
Beoning,2018,"Drama, Mystery","South Korea, Japan",Chang-dong Lee,7.6,90.0,176.0,227.0
