title,year,genre,country,director,avg_vote,metascore,reviews_from_users,reviews_from_critics
Coco,2017,"Animation, Adventure, Family",USA,"Lee Unkrich, Adrian Molina",8.4,81.0,930.0,395.0
Kimi no na wa.,2016,"Animation, Drama, Fantasy",Japan,Makoto Shinkai,8.4,79.0,468.0,215.0
Spider-Man: Into the Spider-Verse,2018,"Animation, Action, Adventure",USA,"Bob Persichetti, Peter Ramsey",8.4,87.0,1653.0,379.0
Toy Story 3,2010,"Animation, Adventure, Comedy",USA,Lee Unkrich,8.3,92.0,825.0,474.0
Koe no katachi,2016,"Animation, Drama, Romance",Japan,Naoko Yamada,8.2,78.0,121.0,81.0
Inside Out,2015,"Animation, Adventure, Comedy",USA,"Pete Docter, Ronnie Del Carmen",8.2,94.0,972.0,579.0
How to Train Your Dragon,2010,"Animation, Action, Adventure",USA,"Dean DeBlois, Chris Sanders",8.1,74.0,594.0,304.0
Song of the Sea,2014,"Animation, Adventure, Drama","Ireland, Denmark, Belgium, Luxembourg, France",Tomm Moore,8.1,85.0,112.0,159.0
Ookami kodomo no Ame to Yuki,2012,"Animation, Drama, Family",Japan,Mamoru Hosoda,8.1,71.0,84.0,86.0
Zootopia,2016,"Animation, Adventure, Comedy",USA,"Byron Howard, Rich Moore",8.0,78.0,642.0,474.0
Kaguyahime no monogatari,2013,"Animation, Adventure, Drama",Japan,Isao Takahata,8.0,89.0,103.0,177.0
Isle of Dogs,2018,"Animation, Adventure, Comedy","Germany, USA",Wes Anderson,7.9,82.0,407.0,376.0
Ernest et Célestine,2012,"Animation, Adventure, Comedy","France, Belgium, Luxembourg","Stéphane Aubier, Vincent Patar",7.9,86.0,45.0,103.0
Toy Story 4,2019,"Animation, Adventure, Comedy",USA,Josh Cooley,7.9,84.0,1089.0,341.0
Kubo and the Two Strings,2016,"Animation, Action, Adventure","USA, Japan",Travis Knight,7.8,84.0,269.0,302.0
Loving Vincent,2017,"Animation, Biography, Crime","Poland, UK, USA, Switzerland, Netherlands","Dorota Kobiela, Hugh Welchman",7.8,62.0,178.0,217.0
Big Hero 6,2014,"Animation, Action, Adventure",USA,"Don Hall, Chris Williams",7.8,74.0,506.0,408.0
Ma vie de Courgette,2016,"Animation, Comedy, Drama","Switzerland, France",Claude Barras,7.8,85.0,51.0,191.0
Kaze tachinu,2013,"Animation, Biography, Drama",Japan,Hayao Miyazaki,7.8,83.0,143.0,319.0
How to Train Your Dragon 2,2014,"Animation, Action, Adventure",USA,Dean DeBlois,7.8,76.0,390.0,313.0
The Lego Movie,2014,"Animation, Action, Adventure","USA, Denmark, Australia","Phil Lord, Christopher Miller",7.8,83.0,541.0,460.0
Wreck-It Ralph,2012,"Animation, Adventure, Comedy",USA,Rich Moore,7.7,72.0,419.0,392.0
Le Petit Prince,2015,"Animation, Adventure, Drama",France,Mark Osborne,7.7,70.0,122.0,158.0
Omoide no Mânî,2014,"Animation, Drama, Family",Japan,"James Simone, Hiromasa Yonebayashi",7.7,72.0,74.0,167.0
Incredibles 2,2018,"Animation, Action, Adventure",USA,Brad Bird,7.7,80.0,1033.0,385.0
The Breadwinner,2017,"Animation, Drama, Family","Ireland, Canada, Luxembourg, USA, UK, Philippines, India",Nora Twomey,7.7,78.0,72.0,108.0
Bakemono no ko,2015,"Animation, Action, Adventure",Japan,Mamoru Hosoda,7.7,65.0,40.0,162.0
Tangled,2010,"Animation, Adventure, Comedy",USA,"Nathan Greno, Byron Howard",7.7,71.0,445.0,337.0
Moana,2016,"Animation, Adventure, Comedy",USA,"Ron Clements, John Musker",7.6,81.0,464.0,384.0
Kari-gurashi no Arietti,2010,"Animation, Adventure, Family",Japan,Hiromasa Yonebayashi,7.6,80.0,125.0,249.0
Despicable Me,2010,"Animation, Comedy, Family","USA, France","Pierre Coffin, Chris Renaud",7.6,72.0,328.0,317.0
