title,year,genre,country,director,avg_vote,metascore,reviews_from_users,reviews_from_critics
Incendies,2010,"Drama, Mystery, War","Canada, France",Denis Villeneuve,8.3,80.0,215.0,238.0
Mandariinid,2013,"Drama, War","Estonia, Georgia",Zaza Urushadze,8.2,73.0,71.0,118.0
Under sandet,2015,"Drama, History, War","Denmark, Germany",Martin Zandvliet,7.8,75.0,70.0,154.0
Beasts of No Nation,2015,"Drama, War",USA,Cary Joji Fukunaga,7.7,79.0,165.0,184.0
Fury,2014,"Action, Drama, War","USA, China, UK",David Ayer,7.6,64.0,837.0,427.0
