title,year,genre,country,director,avg_vote,metascore,reviews_from_users,reviews_from_critics
Ford v Ferrari,2019,"Action, Biography, Drama","USA, France",James Mangold,8.3,80.0,166.0,158.0
Green Book,2018,"Biography, Comedy, Drama",USA,Peter Farrelly,8.2,69.0,1216.0,379.0
The Wolf of Wall Street,2013,"Biography, Crime, Drama",USA,Martin Scorsese,8.2,75.0,1308.0,638.0
Spotlight,2015,"Biography, Crime, Drama",USA,Tom McCarthy,8.1,93.0,552.0,518.0
Hacksaw Ridge,2016,"Biography, Drama, History","Australia, USA",Mel Gibson,8.1,71.0,805.0,464.0
12 Years a Slave,2013,"Biography, Drama, History","USA, UK",Steve McQueen,8.1,96.0,814.0,609.0
Rush,2013,"Biography, Drama, Sport","UK, Germany, USA",Ron Howard,8.1,75.0,541.0,419.0
The King's Speech,2010,"Biography, Drama, History","UK, USA, Australia",Tom Hooper,8.0,88.0,701.0,486.0
The Revenant,2015,"Action, Adventure, Biography","USA, Hong Kong, Taiwan",Alejandro G. Iñárritu,8.0,76.0,1498.0,629.0
Lion,2016,"Biography, Drama","UK, Australia, USA",Garth Davis,8.0,69.0,498.0,372.0
The Imitation Game,2014,"Biography, Drama, Thriller","UK, USA",Morten Tyldum,8.0,73.0,777.0,479.0
Dallas Buyers Club,2013,"Biography, Drama",USA,Jean-Marc Vallée,8.0,84.0,373.0,488.0
Straight Outta Compton,2015,"Biography, Drama, History",USA,F. Gary Gray,7.9,72.0,376.0,381.0
Pride,2014,"Biography, Comedy, Drama","UK, France",Matthew Warchus,7.8,79.0,163.0,218.0
The Fighter,2010,"Biography, Drama, Sport",USA,David O. Russell,7.8,79.0,427.0,407.0
Kaze tachinu,2013,"Animation, Biography, Drama",Japan,Hayao Miyazaki,7.8,83.0,143.0,319.0
Hidden Figures,2016,"Biography, Drama, History",USA,Theodore Melfi,7.8,74.0,451.0,418.0
The Big Short,2015,"Biography, Comedy, Drama",USA,Adam McKay,7.8,81.0,479.0,468.0
Captain Phillips,2013,"Biography, Drama, Thriller",USA,Paul Greengrass,7.8,83.0,600.0,505.0
Loving Vincent,2017,"Animation, Biography, Crime","Poland, UK, USA, Switzerland, Netherlands","Dorota Kobiela, Hugh Welchman",7.8,62.0,178.0,217.0
Only the Brave,2017,"Action, Biography, Drama",USA,Joseph Kosinski,7.7,72.0,178.0,171.0
The Theory of Everything,2014,"Biography, Drama, Romance","UK, Japan, USA",James Marsh,7.7,72.0,463.0,430.0
The Social Network,2010,"Biography, Drama",USA,David Fincher,7.7,95.0,792.0,577.0
Argo,2012,"Biography, Drama, Thriller","USA, UK",Ben Affleck,7.7,86.0,755.0,663.0
Maudie,2016,"Biography, Drama, Romance","Ireland, Canada",Aisling Walsh,7.6,65.0,94.0,368.0
127 Hours,2010,"Biography, Drama","USA, UK, France",Danny Boyle,7.6,82.0,468.0,459.0
Philomena,2013,"Biography, Comedy, Drama","UK, USA, France",Stephen Frears,7.6,77.0,252.0,349.0
Moneyball,2011,"Biography, Drama, Sport",USA,Bennett Miller,7.6,87.0,372.0,433.0
The Favourite,2018,"Biography, Drama, History","Ireland, UK, USA",Yorgos Lanthimos,7.6,90.0,1100.0,415.0
