title,year,genre,country,director,avg_vote,metascore,reviews_from_users,reviews_from_critics
12 Angry Men,1957,Drama,USA,Sidney Lumet,8.9,96.0,1366.0,213.0
Shichinin no samurai,1954,"Action, Adventure, Drama",Japan,Akira Kurosawa,8.6,98.0,655.0,121.0
Umberto D.,1952,Drama,Italy,Vittorio De Sica,8.2,92.0,95.0,77.0
A Face in the Crowd,1957,"Drama, Music",USA,Elia Kazan,8.2,72.0,163.0,66.0
All About Eve,1950,Drama,USA,Joseph L. Mankiewicz,8.2,98.0,358.0,128.0
Ace in the Hole,1951,"Drama, Film-Noir",USA,Billy Wilder,8.2,72.0,173.0,150.0
Rashômon,1950,"Crime, Drama, Mystery",Japan,Akira Kurosawa,8.2,98.0,319.0,137.0
Ben-Hur,1959,"Adventure, Drama, History",USA,William Wyler,8.1,90.0,416.0,128.0
Sweet Smell of Success,1957,"Drama, Film-Noir",USA,Alexander Mackendrick,8.1,100.0,143.0,127.0
The Bridge on the River Kwai,1957,"Adventure, Drama, War","UK, USA",David Lean,8.1,87.0,309.0,91.0
On the Waterfront,1954,"Crime, Drama, Thriller",USA,Elia Kazan,8.1,91.0,312.0,156.0
A Streetcar Named Desire,1951,Drama,USA,Elia Kazan,8.0,96.0,266.0,79.0
Anatomy of a Murder,1959,"Crime, Drama, Mystery",USA,Otto Preminger,8.0,95.0,222.0,112.0
Touch of Evil,1958,"Crime, Drama, Film-Noir",USA,Orson Welles,8.0,99.0,304.0,112.0
Cat on a Hot Tin Roof,1958,Drama,USA,Richard Brooks,8.0,80.0,167.0,78.0
Stalag 17,1953,"Comedy, Drama, War",USA,Billy Wilder,8.0,84.0,156.0,93.0
Ascenseur pour l'échafaud,1958,"Crime, Drama, Thriller",France,Louis Malle,8.0,94.0,88.0,124.0
The Night of the Hunter,1955,"Crime, Drama, Film-Noir",USA,Charles Laughton,8.0,99.0,442.0,204.0
The Searchers,1956,"Adventure, Drama, Western",USA,John Ford,7.9,94.0,469.0,117.0
East of Eden,1955,Drama,USA,Elia Kazan,7.9,72.0,189.0,88.0
I vitelloni,1953,"Comedy, Drama","Italy, France",Federico Fellini,7.9,87.0,53.0,57.0
High Noon,1952,"Drama, Thriller, Western",USA,Fred Zinnemann,7.9,89.0,382.0,126.0
A Place in the Sun,1951,"Drama, Romance",USA,George Stevens,7.8,76.0,156.0,77.0
Rebel Without a Cause,1955,Drama,USA,Nicholas Ray,7.7,87.0,311.0,157.0
Invasion of the Body Snatchers,1956,"Drama, Horror, Sci-Fi",USA,Don Siegel,7.7,92.0,243.0,143.0
Sabrina,1954,"Comedy, Drama, Romance",USA,Billy Wilder,7.7,72.0,175.0,87.0
The African Queen,1951,"Adventure, Drama, Romance","UK, USA",John Huston,7.7,91.0,234.0,115.0
Johnny Guitar,1954,"Drama, Western",USA,Nicholas Ray,7.7,83.0,120.0,80.0
The Caine Mutiny,1954,"Drama, War",USA,Edward Dmytryk,7.7,63.0,174.0,45.0
A Star Is Born,1954,"Drama, Musical, Romance",USA,George Cukor,7.6,89.0,145.0,84.0
Gun Crazy,1950,"Crime, Drama, Film-Noir",USA,Joseph H. Lewis,7.6,74.0,112.0,65.0
Giant,1956,"Drama, Western",USA,George Stevens,7.6,84.0,176.0,110.0
Gojira,1954,"Drama, Horror, Sci-Fi",Japan,Ishirô Honda,7.6,78.0,211.0,120.0
Shane,1953,"Drama, Western",USA,George Stevens,7.6,80.0,289.0,80.0
The Defiant Ones,1958,"Crime, Drama",USA,Stanley Kramer,7.6,69.0,81.0,49.0
From Here to Eternity,1953,"Drama, Romance, War",USA,Fred Zinnemann,7.6,85.0,167.0,116.0
