title,year,genre,country,director,avg_vote,metascore,reviews_from_users,reviews_from_critics
Singin' in the Rain,1952,"Comedy, Musical, Romance",USA,"Stanley Donen, Gene Kelly",8.3,99.0,619.0,150.0
Some Like It Hot,1959,"Comedy, Music, Romance",USA,Billy Wilder,8.2,97.0,396.0,214.0
Roman Holiday,1953,"Comedy, Romance",USA,William Wyler,8.0,78.0,262.0,115.0
Stalag 17,1953,"Comedy, Drama, War",USA,Billy Wilder,8.0,84.0,156.0,93.0
I vitelloni,1953,"Comedy, Drama","Italy, France",Federico Fellini,7.9,87.0,53.0,57.0
Sabrina,1954,"Comedy, Drama, Romance",USA,Billy Wilder,7.7,72.0,175.0,87.0
The Ladykillers,1955,"Comedy, Crime",UK,Alexander Mackendrick,7.7,91.0,135.0,81.0
