title,year,genre,country,director,avg_vote,metascore,reviews_from_users,reviews_from_critics
Singin' in the Rain,1952,"Comedy, Musical, Romance",USA,"Stanley Donen, Gene Kelly",8.3,99.0,619.0,150.0
Vertigo,1958,"Mystery, Romance, Thriller",USA,Alfred Hitchcock,8.3,100.0,788.0,172.0
Some Like It Hot,1959,"Comedy, Music, Romance",USA,Billy Wilder,8.2,97.0,396.0,214.0
Roman Holiday,1953,"Comedy, Romance",USA,William Wyler,8.0,78.0,262.0,115.0
A Place in the Sun,1951,"Drama, Romance",USA,George Stevens,7.8,76.0,156.0,77.0
The African Queen,1951,"Adventure, Drama, Romance","UK, USA",John Huston,7.7,91.0,234.0,115.0
Sabrina,1954,"Comedy, Drama, Romance",USA,Billy Wilder,7.7,72.0,175.0,87.0
From Here to Eternity,1953,"Drama, Romance, War",USA,Fred Zinnemann,7.6,85.0,167.0,116.0
A Star Is Born,1954,"Drama, Musical, Romance",USA,George Cukor,7.6,89.0,145.0,84.0
