title,year,genre,country,director,avg_vote,metascore,reviews_from_users,reviews_from_critics
Rear Window,1954,"Mystery, Thriller",USA,Alfred Hitchcock,8.4,100.0,759.0,145.0
Vertigo,1958,"Mystery, Romance, Thriller",USA,Alfred Hitchcock,8.3,100.0,788.0,172.0
North by Northwest,1959,"Adventure, Mystery, Thriller",USA,Alfred Hitchcock,8.3,98.0,569.0,164.0
Rashômon,1950,"Crime, Drama, Mystery",Japan,Akira Kurosawa,8.2,98.0,319.0,137.0
Anatomy of a Murder,1959,"Crime, Drama, Mystery",USA,Otto Preminger,8.0,95.0,222.0,112.0
