title,year,genre,country,director,avg_vote,metascore,reviews_from_users,reviews_from_critics
Rashômon,1950,"Crime, Drama, Mystery",Japan,Akira Kurosawa,8.2,98.0,319.0,137.0
Dial M for Murder,1954,"Crime, Thriller",USA,Alfred Hitchcock,8.2,75.0,325.0,105.0
Du rififi chez les hommes,1955,"Crime, Thriller",France,Jules Dassin,8.2,97.0,123.0,131.0
On the Waterfront,1954,"Crime, Drama, Thriller",USA,Elia Kazan,8.1,91.0,312.0,156.0
Strangers on a Train,1951,"Crime, Film-Noir, Thriller",USA,Alfred Hitchcock,8.0,88.0,309.0,115.0
The Night of the Hunter,1955,"Crime, Drama, Film-Noir",USA,Charles Laughton,8.0,99.0,442.0,204.0
Ascenseur pour l'échafaud,1958,"Crime, Drama, Thriller",France,Louis Malle,8.0,94.0,88.0,124.0
Touch of Evil,1958,"Crime, Drama, Film-Noir",USA,Orson Welles,8.0,99.0,304.0,112.0
Anatomy of a Murder,1959,"Crime, Drama, Mystery",USA,Otto Preminger,8.0,95.0,222.0,112.0
The Ladykillers,1955,"Comedy, Crime",UK,Alexander Mackendrick,7.7,91.0,135.0,81.0
Gun Crazy,1950,"Crime, Drama, Film-Noir",USA,Joseph H. Lewis,7.6,74.0,112.0,65.0
The Defiant Ones,1958,"Crime, Drama",USA,Stanley Kramer,7.6,69.0,81.0,49.0
