title,year,genre,country,director,avg_vote,metascore,reviews_from_users,reviews_from_critics
Seppuku,1962,"Drama, History",Japan,Masaki Kobayashi,8.7,85.0,214.0,87.0
The Great Escape,1963,"Adventure, Drama, History",USA,John Sturges,8.2,87.0,339.0,102.0
Inherit the Wind,1960,"Biography, Drama, History",USA,Stanley Kramer,8.1,75.0,179.0,74.0
Il gattopardo,1963,"Drama, History","Italy, France",Luchino Visconti,8.0,100.0,104.0,112.0
The Longest Day,1962,"Action, Drama, History",USA,"Ken Annakin, Andrew Marton",7.8,75.0,224.0,53.0
Becket,1964,"Biography, Drama, History","UK, USA",Peter Glenville,7.8,68.0,104.0,48.0
Zulu,1964,"Drama, History, War",UK,Cy Endfield,7.7,77.0,255.0,37.0
A Man for All Seasons,1966,"Biography, Drama, History",UK,Fred Zinnemann,7.7,72.0,183.0,75.0
