title,year,genre,country,director,avg_vote,metascore,reviews_from_users,reviews_from_critics
Rocco e i suoi fratelli,1960,"Crime, Drama, Sport","Italy, France",Luchino Visconti,8.3,84.0,49.0,96.0
To Kill a Mockingbird,1962,"Crime, Drama",USA,Robert Mulligan,8.3,88.0,541.0,149.0
Cool Hand Luke,1967,"Crime, Drama",USA,Stuart Rosenberg,8.1,91.0,310.0,123.0
In the Heat of the Night,1967,"Crime, Drama, Mystery",USA,Norman Jewison,8.0,75.0,207.0,107.0
Butch Cassidy and the Sundance Kid,1969,"Biography, Crime, Drama",USA,George Roy Hill,8.0,66.0,393.0,102.0
In Cold Blood,1967,"Biography, Crime, Drama",USA,Richard Brooks,7.9,89.0,136.0,81.0
Birdman of Alcatraz,1962,"Biography, Crime, Drama",USA,"John Frankenheimer, Charles Crichton",7.8,76.0,87.0,62.0
Bande à part,1964,"Comedy, Crime, Drama",France,Jean-Luc Godard,7.8,88.0,65.0,92.0
Bonnie and Clyde,1967,"Action, Biography, Crime",USA,Arthur Penn,7.8,86.0,417.0,100.0
Lolita,1962,"Crime, Drama, Romance","UK, USA",Stanley Kubrick,7.6,79.0,237.0,96.0
