title,year,genre,country,director,avg_vote,metascore,reviews_from_users,reviews_from_critics
Seppuku,1962,"Drama, History",Japan,Masaki Kobayashi,8.7,85.0,214.0,87.0
Rocco e i suoi fratelli,1960,"Crime, Drama, Sport","Italy, France",Luchino Visconti,8.3,84.0,49.0,96.0
The Apartment,1960,"Comedy, Drama, Romance",USA,Billy Wilder,8.3,94.0,308.0,229.0
Lawrence of Arabia,1962,"Adventure, Biography, Drama",UK,David Lean,8.3,100.0,624.0,194.0
To Kill a Mockingbird,1962,"Crime, Drama",USA,Robert Mulligan,8.3,88.0,541.0,149.0
The Army of Shadows,1969,"Drama, War","France, Italy",Jean-Pierre Melville,8.2,99.0,88.0,135.0
The Great Escape,1963,"Adventure, Drama, History",USA,John Sturges,8.2,87.0,339.0,102.0
La battaglia di Algeri,1966,"Drama, War","Italy, Algeria",Gillo Pontecorvo,8.1,95.0,278.0,147.0
The Man Who Shot Liberty Valance,1962,"Drama, Western",USA,John Ford,8.1,94.0,242.0,78.0
Persona,1966,"Drama, Thriller",Sweden,Ingmar Bergman,8.1,86.0,208.0,136.0
The Miracle Worker,1962,"Biography, Drama",USA,Arthur Penn,8.1,83.0,98.0,40.0
Inherit the Wind,1960,"Biography, Drama, History",USA,Stanley Kramer,8.1,75.0,179.0,74.0
Cool Hand Luke,1967,"Crime, Drama",USA,Stuart Rosenberg,8.1,91.0,310.0,123.0
What Ever Happened to Baby Jane?,1962,"Drama, Horror, Thriller",USA,Robert Aldrich,8.1,75.0,234.0,97.0
Per un pugno di dollari,1964,"Drama, Western","Italy, Spain, West Germany",Sergio Leone,8.0,65.0,280.0,143.0
Il gattopardo,1963,"Drama, History","Italy, France",Luchino Visconti,8.0,100.0,104.0,112.0
Who's Afraid of Virginia Woolf?,1966,Drama,USA,Mike Nichols,8.0,75.0,275.0,91.0
The Graduate,1967,"Comedy, Drama, Romance",USA,Mike Nichols,8.0,83.0,734.0,189.0
In the Heat of the Night,1967,"Crime, Drama, Mystery",USA,Norman Jewison,8.0,75.0,207.0,107.0
The Sound of Music,1965,"Biography, Drama, Family",USA,Robert Wise,8.0,63.0,452.0,131.0
Rosemary's Baby,1968,"Drama, Horror",USA,Roman Polanski,8.0,96.0,535.0,249.0
Butch Cassidy and the Sundance Kid,1969,"Biography, Crime, Drama",USA,George Roy Hill,8.0,66.0,393.0,102.0
The Hustler,1961,"Drama, Sport",USA,Robert Rossen,8.0,90.0,194.0,109.0
Doctor Zhivago,1965,"Drama, Romance, War","USA, Italy, UK, Liechtenstein",David Lean,8.0,69.0,289.0,94.0
La dolce vita,1960,"Comedy, Drama","Italy, France",Federico Fellini,8.0,93.0,183.0,143.0
Fail-Safe,1964,"Drama, Thriller",USA,Sidney Lumet,8.0,75.0,154.0,45.0
Seven Days in May,1964,"Drama, Thriller",USA,John Frankenheimer,7.9,73.0,108.0,48.0
Au hasard Balthazar,1966,Drama,"France, Sweden",Robert Bresson,7.9,100.0,77.0,109.0
"They Shoot Horses, Don't They?",1969,Drama,USA,Sydney Pollack,7.9,72.0,107.0,55.0
Hud,1963,"Drama, Western",USA,Martin Ritt,7.9,62.0,134.0,53.0
The Manchurian Candidate,1962,"Drama, Thriller",USA,John Frankenheimer,7.9,94.0,326.0,111.0
In Cold Blood,1967,"Biography, Crime, Drama",USA,Richard Brooks,7.9,89.0,136.0,81.0
Days of Wine and Roses,1962,Drama,USA,Blake Edwards,7.9,74.0,110.0,37.0
Spartacus,1960,"Adventure, Biography, Drama",USA,Stanley Kubrick,7.9,87.0,293.0,123.0
The Hill,1965,"Drama, War",UK,Sidney Lumet,7.9,81.0,97.0,28.0
Guess Who's Coming to Dinner,1967,"Comedy, Drama",USA,Stanley Kramer,7.8,63.0,365.0,67.0
Midnight Cowboy,1969,"Drama, Western",USA,John Schlesinger,7.8,79.0,371.0,119.0
My Fair Lady,1964,"Drama, Family, Musical",USA,George Cukor,7.8,95.0,296.0,89.0
Bande à part,1964,"Comedy, Crime, Drama",France,Jean-Luc Godard,7.8,88.0,65.0,92.0
Splendor in the Grass,1961,"Drama, Romance",USA,Elia Kazan,7.8,74.0,135.0,47.0
Birdman of Alcatraz,1962,"Biography, Crime, Drama",USA,"John Frankenheimer, Charles Crichton",7.8,76.0,87.0,62.0
Les parapluies de Cherbourg,1964,"Drama, Musical, Romance","France, West Germany",Jacques Demy,7.8,86.0,143.0,114.0
