title,year,genre,country,director,avg_vote,metascore,reviews_from_users,reviews_from_critics
Amadeus,1984,"Biography, Drama, History","USA, France, Czechoslovakia, Italy",Milos Forman,8.3,88.0,600.0,108.0
Kagemusha,1980,"Drama, History, War","Japan, USA",Akira Kurosawa,8.0,84.0,96.0,74.0
Gandhi,1982,"Biography, Drama, History","UK, India",Richard Attenborough,8.0,79.0,291.0,101.0
'Breaker' Morant,1980,"Drama, History, War",Australia,Bruce Beresford,7.8,72.0,93.0,53.0
The Killing Fields,1984,"Biography, Drama, History",UK,Roland Joffé,7.8,76.0,194.0,72.0
Empire of the Sun,1987,"Drama, History, War",USA,Steven Spielberg,7.8,62.0,320.0,58.0
Mississippi Burning,1988,"Crime, Drama, History",USA,Alan Parker,7.8,65.0,203.0,62.0
Glory,1989,"Biography, Drama, History",USA,Edward Zwick,7.8,78.0,433.0,68.0
Missing,1982,"Biography, Drama, History","USA, Mexico",Costa-Gavras,7.7,78.0,97.0,71.0
The Last Emperor,1987,"Biography, Drama, History","UK, Italy, China, France",Bernardo Bertolucci,7.7,76.0,157.0,82.0
